2021-06-30 09:06:815 INFO  BasePage :29 - Launching Chrome Browser 
2021-06-30 09:06:755 INFO  BasePage :29 - Launching Chrome Browser 
2021-06-30 09:06:618 INFO  BasePage :29 - Launching Chrome Browser 
2021-06-30 09:06:56 INFO  BasePage :29 - Launching Chrome Browser 
2021-06-30 09:06:638 INFO  HomePage :35 - Clicking on register tab element [[ChromeDriver: chrome on WINDOWS (c8a2b87cbf5e5559c2f3d571fe652358)] -> xpath: //a[contains(text(),'Register')]]
2021-06-30 09:06:777 INFO  RegisterPage :48 - Entering first name :  to email field : [[ChromeDriver: chrome on WINDOWS (c8a2b87cbf5e5559c2f3d571fe652358)] -> xpath: //input[@id='FirstName']]
2021-06-30 09:06:878 INFO  RegisterPage :54 - Entering last name : Patel to last name field : [[ChromeDriver: chrome on WINDOWS (c8a2b87cbf5e5559c2f3d571fe652358)] -> xpath: //input[@id='LastName']]
2021-06-30 09:06:996 INFO  RegisterPage :60 - Entering email address : [[ChromeDriver: chrome on WINDOWS (c8a2b87cbf5e5559c2f3d571fe652358)] -> xpath: //input[@id='Email']] to email field : [[ChromeDriver: chrome on WINDOWS (c8a2b87cbf5e5559c2f3d571fe652358)] -> xpath: //input[@id='Email']]
2021-06-30 09:06:123 INFO  RegisterPage :66 - Entering password : abc1234 to password field : [[ChromeDriver: chrome on WINDOWS (c8a2b87cbf5e5559c2f3d571fe652358)] -> xpath: //input[@id='Password']]
2021-06-30 09:06:207 INFO  RegisterPage :72 - Entering confirm password : abc1234 to confirm password field : [[ChromeDriver: chrome on WINDOWS (c8a2b87cbf5e5559c2f3d571fe652358)] -> xpath: //input[@id='ConfirmPassword']]
2021-06-30 09:06:273 INFO  RegisterPage :78 - Clicking on register button [[ChromeDriver: chrome on WINDOWS (c8a2b87cbf5e5559c2f3d571fe652358)] -> xpath: //button[@id='register-button']]
2021-06-30 09:06:290 INFO  RegisterPage :84 - Getting empty mandatory field error message [[ChromeDriver: chrome on WINDOWS (c8a2b87cbf5e5559c2f3d571fe652358)] -> xpath: //span[@id='FirstName-error']]
2021-06-30 09:06:983 INFO  BasePage :29 - Launching Chrome Browser 
2021-06-30 09:06:971 INFO  HomePage :29 - Clicking on login tab element [[ChromeDriver: chrome on WINDOWS (0ab0071e6eddce2fd48b8adf552102fc)] -> xpath: //a[contains(text(),'Log in')]]
2021-06-30 09:06:87 INFO  RegisterPage :60 - Entering email address : [[ChromeDriver: chrome on WINDOWS (0ab0071e6eddce2fd48b8adf552102fc)] -> xpath: //input[@id='Email']] to email field : [[ChromeDriver: chrome on WINDOWS (0ab0071e6eddce2fd48b8adf552102fc)] -> xpath: //input[@id='Email']]
2021-06-30 09:06:188 INFO  RegisterPage :66 - Entering password : abc1234 to password field : [[ChromeDriver: chrome on WINDOWS (0ab0071e6eddce2fd48b8adf552102fc)] -> xpath: //input[@id='Password']]
2021-06-30 09:06:218 INFO  LoginPage :49 - Clicking on login button [[ChromeDriver: chrome on WINDOWS (0ab0071e6eddce2fd48b8adf552102fc)] -> xpath: //button[contains(text(),'Log in')]]
2021-06-30 09:06:297 INFO  LoginPage :54 - Page Navigation with welcome Text from element Proxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'Log out')]'
2021-06-30 17:06:509 INFO  BasePage :29 - Launching Chrome Browser 
2021-06-30 17:06:987 INFO  HomePage :35 - Clicking on register tab element [[ChromeDriver: chrome on WINDOWS (3260f6894765e47bf202f10872514cac)] -> xpath: //a[contains(text(),'Register')]]
2021-06-30 17:06:29 INFO  RegisterPage :41 - Navigate to register page and verify navigated page welcome text [[ChromeDriver: chrome on WINDOWS (3260f6894765e47bf202f10872514cac)] -> xpath: //h1[contains(text(),'Register')]]
2021-06-30 17:06:840 INFO  BasePage :29 - Launching Chrome Browser 
2021-06-30 17:06:211 INFO  HomePage :35 - Clicking on register tab element [[ChromeDriver: chrome on WINDOWS (e39d65a69e66b2078c68092e7216274c)] -> xpath: //a[contains(text(),'Register')]]
2021-06-30 17:06:353 INFO  RegisterPage :48 - Entering first name : Dipak to email field : [[ChromeDriver: chrome on WINDOWS (e39d65a69e66b2078c68092e7216274c)] -> xpath: //input[@id='FirstName']]
2021-06-30 17:06:477 INFO  RegisterPage :54 - Entering last name : Patel to last name field : [[ChromeDriver: chrome on WINDOWS (e39d65a69e66b2078c68092e7216274c)] -> xpath: //input[@id='LastName']]
2021-06-30 17:06:632 INFO  RegisterPage :60 - Entering email address : [[ChromeDriver: chrome on WINDOWS (e39d65a69e66b2078c68092e7216274c)] -> xpath: //input[@id='Email']] to email field : [[ChromeDriver: chrome on WINDOWS (e39d65a69e66b2078c68092e7216274c)] -> xpath: //input[@id='Email']]
2021-06-30 17:06:731 INFO  RegisterPage :66 - Entering password : abc1234 to password field : [[ChromeDriver: chrome on WINDOWS (e39d65a69e66b2078c68092e7216274c)] -> xpath: //input[@id='Password']]
2021-06-30 17:06:831 INFO  RegisterPage :72 - Entering confirm password : abc1234 to confirm password field : [[ChromeDriver: chrome on WINDOWS (e39d65a69e66b2078c68092e7216274c)] -> xpath: //input[@id='ConfirmPassword']]
2021-06-30 17:06:845 INFO  RegisterPage :78 - Clicking on register button Proxy element for: DefaultElementLocator 'By.xpath: //button[@id='register-button']'
2021-06-30 17:06:861 INFO  RegisterPage :91 - Getting registration completed message [[ChromeDriver: chrome on WINDOWS (e39d65a69e66b2078c68092e7216274c)] -> xpath: //div[contains(text(),'Your registration completed')]]
2021-06-30 17:06:637 INFO  BasePage :29 - Launching Chrome Browser 
2021-06-30 17:06:49 INFO  HomePage :29 - Clicking on login tab element [[ChromeDriver: chrome on WINDOWS (76a4ea1b3cdfe1c2c9601dfac57a978e)] -> xpath: //a[contains(text(),'Log in')]]
2021-06-30 17:06:81 INFO  LoginPage :30 - Navigate to register page and verify navigated page welcome text [[ChromeDriver: chrome on WINDOWS (76a4ea1b3cdfe1c2c9601dfac57a978e)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
